All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
U15,GPIO120,,GPIO120,,,EM2WEn,GPIO120,,,,GPIO120,,,,GPIO120,,,USB0PFLT
W16,GPIO121,,GPIO121,,,EM2OEn,GPIO121,,,,GPIO121,,,,GPIO121,,,USB0EPEN
V16,GPIO36,,GPIO36,SCITXDA,EM1WAIT,,GPIO36,,CANRXA,,GPIO36,,,,GPIO36,,,
U16,GPIO37,,GPIO37,OUTPUTXBAR2,EM1OEn,,GPIO37,,CANTXA,,GPIO37,,,,GPIO37,,,
T16,GPIO38,,GPIO38,,EM1A0,,GPIO38,SCITXDC,CANTXB,,GPIO38,,,,GPIO38,,,
W17,GPIO39,,GPIO39,,EM1A1,,GPIO39,SCIRXDC,CANRXB,,GPIO39,,,,GPIO39,,,
W18,GPIO132,,GPIO132,,,,GPIO132,,,SD2_D2,GPIO132,,,,GPIO132,,,
V17,GPIO40,,GPIO40,,EM1A2,,GPIO40,,SDAB,,GPIO40,,,,GPIO40,,,
V18,GPIO134,,GPIO134,,,,GPIO134,,,SD2_D3,GPIO134,,,,GPIO134,,,
U17,GPIO41,,GPIO41,,EM1A3,,GPIO41,,SCLB,,GPIO41,,,,GPIO41,,,
U18,GPIO135,,GPIO135,,,,GPIO135,,SCITXDA,SD2_C3,GPIO135,,,,GPIO135,,,
T17,GPIO136,,GPIO136,,,,GPIO136,,SCIRXDA,SD2_D4,GPIO136,,,,GPIO136,,,
R16,GPIO48,,GPIO48,OUTPUTXBAR3,EM1A8,,GPIO48,,SCITXDA,SD1_D1,GPIO48,,,,GPIO48,,,
T18,GPIO137,,GPIO137,,,,GPIO137,,SCITXDB,SD2_C4,GPIO137,,,,GPIO137,,,
T19,GPIO138,,GPIO138,,,,GPIO138,,SCIRXDB,,GPIO138,,,,GPIO138,,,
R17,GPIO49,,GPIO49,OUTPUTXBAR4,EM1A9,,GPIO49,,SCIRXDA,SD1_C1,GPIO49,,,,GPIO49,,,
R18,GPIO50,,GPIO50,EQEP1A,EM1A10,,GPIO50,,SPISIMOC,SD1_D2,GPIO50,,,,GPIO50,,,
R19,GPIO51,,GPIO51,EQEP1B,EM1A11,,GPIO51,,SPISOMIC,SD1_C2,GPIO51,,,,GPIO51,,,
P16,GPIO52,,GPIO52,EQEP1S,EM1A12,,GPIO52,,SPICLKC,SD1_D3,GPIO52,,,,GPIO52,,,
P17,GPIO53,,GPIO53,EQEP1I,EM1D31,EM2D15,GPIO53,,SPISTEC,SD1_C3,GPIO53,,,,GPIO53,,,
P18,GPIO54,,GPIO54,SPISIMOA,EM1D30,EM2D14,GPIO54,EQEP2A,SCITXDB,SD1_D4,GPIO54,,,,GPIO54,,,
P19,GPIO55,,GPIO55,SPISOMIA,EM1D29,EM2D13,GPIO55,EQEP2B,SCIRXDB,SD1_C4,GPIO55,,,,GPIO55,,,
N16,GPIO56,,GPIO56,SPICLKA,EM1D28,EM2D12,GPIO56,EQEP2S,SCITXDC,SD2_D1,GPIO56,,,,GPIO56,,,
N18,GPIO57,,GPIO57,SPISTEA,EM1D27,EM2D11,GPIO57,EQEP2I,SCIRXDC,SD2_C1,GPIO57,,,,GPIO57,,,
N17,GPIO58,,GPIO58,MCLKRA,EM1D26,EM2D10,GPIO58,OUTPUTXBAR1,SPICLKB,SD2_D2,GPIO58,,,,GPIO58,,,SPISIMOA
N19,GPIO139,,GPIO139,,,,GPIO139,,SCIRXDC,,GPIO139,,,,GPIO139,,,
M16,GPIO59,,GPIO59,MFSRA,EM1D25,EM2D9,GPIO59,OUTPUTXBAR2,SPISTEB,SD2_C2,GPIO59,,,,GPIO59,,,SPISOMIA
M19,GPIO140,,GPIO140,,,,GPIO140,,SCITXDC,,GPIO140,,,,GPIO140,,,
M17,GPIO60,,GPIO60,MCLKRB,EM1D24,EM2D8,GPIO60,OUTPUTXBAR3,SPISIMOB,SD2_D3,GPIO60,,,,GPIO60,,,SPICLKA
M18,GPIO141,,GPIO141,,,,GPIO141,,SCIRXDD,,GPIO141,,,,GPIO141,,,
L19,GPIO142,,GPIO142,,,,GPIO142,,SCITXDD,,GPIO142,,,,GPIO142,,,
L16,GPIO61,,GPIO61,MFSRB,EM1D23,EM2D7,GPIO61,OUTPUTXBAR4,SPISOMIB,SD2_C3,GPIO61,,,,GPIO61,,,SPISTEA
J17,GPIO62,,GPIO62,SCIRXDC,EM1D22,EM2D6,GPIO62,EQEP3A,CANRXA,SD2_D4,GPIO62,,,,GPIO62,,,
J16,GPIO63,,GPIO63,SCITXDC,EM1D21,EM2D5,GPIO63,EQEP3B,CANTXA,SD2_C4,GPIO63,,,,GPIO63,,,SPISIMOB
L17,GPIO64,,GPIO64,,EM1D20,EM2D4,GPIO64,EQEP3S,SCIRXDA,,GPIO64,,,,GPIO64,,,SPISOMIB
K16,GPIO65,,GPIO65,,EM1D19,EM2D3,GPIO65,EQEP3I,SCITXDA,,GPIO65,,,,GPIO65,,,SPICLKB
K17,GPIO66,,GPIO66,,EM1D18,EM2D2,GPIO66,,SDAB,,GPIO66,,,,GPIO66,,,SPISTEB
K18,GPIO44,,GPIO44,,EM1A4,,GPIO44,,,,GPIO44,,,,GPIO44,,,
K19,GPIO45,,GPIO45,,EM1A5,,GPIO45,,,,GPIO45,,,,GPIO45,,,
F18,GPIO143,,GPIO143,,,,GPIO143,,,,GPIO143,,,,GPIO143,,,
G18,GPIO133,,GPIO133,,,,GPIO133,,,SD2_C2,GPIO133,,,,GPIO133,,,
F17,GPIO144,,GPIO144,,,,GPIO144,,,,GPIO144,,,,GPIO144,,,
E19,GPIO46,,GPIO46,,EM1A6,,GPIO46,,SCIRXDD,,GPIO46,,,,GPIO46,,,
E18,GPIO47,,GPIO47,,EM1A7,,GPIO47,,SCITXDD,,GPIO47,,,,GPIO47,,,
D19,GPIO42,,GPIO42,,,,GPIO42,,SDAA,,GPIO42,,,,GPIO42,,,SCITXDA
C19,GPIO43,,GPIO43,,,,GPIO43,,SCLA,,GPIO43,,,,GPIO43,,,SCIRXDA
B19,GPIO67,,GPIO67,,EM1D17,EM2D1,GPIO67,,,,GPIO67,,,,GPIO67,,,
E17,GPIO145,,GPIO145,EPWM1A,,,GPIO145,,,,GPIO145,,,,GPIO145,,,
C18,GPIO68,,GPIO68,,EM1D16,EM2D0,GPIO68,,,,GPIO68,,,,GPIO68,,,
D18,GPIO146,,GPIO146,EPWM1B,,,GPIO146,,,,GPIO146,,,,GPIO146,,,
B18,GPIO69,,GPIO69,,EM1D15,,GPIO69,,SCLB,,GPIO69,,,,GPIO69,,,SPISIMOC
A17,GPIO70,,GPIO70,,EM1D14,,GPIO70,CANRXA,SCITXDB,,GPIO70,,,,GPIO70,,,SPISOMIC
D17,GPIO147,,GPIO147,EPWM2A,,,GPIO147,,,,GPIO147,,,,GPIO147,,,
B17,GPIO71,,GPIO71,,EM1D13,,GPIO71,CANTXA,SCIRXDB,,GPIO71,,,,GPIO71,,,SPICLKC
B16,GPIO72,,GPIO72,,EM1D12,,GPIO72,CANTXB,SCITXDC,,GPIO72,,,,GPIO72,,,SPISTEC
A16,GPIO73,,GPIO73,,EM1D11,XCLKOUT,GPIO73,CANRXB,SCIRXDC,,GPIO73,,,,GPIO73,,,
C17,GPIO74,,GPIO74,,EM1D10,,GPIO74,,,,GPIO74,,,,GPIO74,,,
D16,GPIO75,,GPIO75,,EM1D9,,GPIO75,,,,GPIO75,,,,GPIO75,,,
C16,GPIO76,,GPIO76,,EM1D8,,GPIO76,,SCITXDD,,GPIO76,,,,GPIO76,,,
A15,GPIO77,,GPIO77,,EM1D7,,GPIO77,,SCIRXDD,,GPIO77,,,,GPIO77,,,
B15,GPIO78,,GPIO78,,EM1D6,,GPIO78,,EQEP2A,,GPIO78,,,,GPIO78,,,
C15,GPIO79,,GPIO79,,EM1D5,,GPIO79,,EQEP2B,,GPIO79,,,,GPIO79,,,
D15,GPIO80,,GPIO80,,EM1D4,,GPIO80,,EQEP2S,,GPIO80,,,,GPIO80,,,
A14,GPIO81,,GPIO81,,EM1D3,,GPIO81,,EQEP2I,,GPIO81,,,,GPIO81,,,
B14,GPIO82,,GPIO82,,EM1D2,,GPIO82,,,,GPIO82,,,,GPIO82,,,
C14,GPIO83,,GPIO83,,EM1D1,,GPIO83,,,,GPIO83,,,,GPIO83,,,
D14,GPIO148,,GPIO148,EPWM2B,,,GPIO148,,,,GPIO148,,,,GPIO148,,,
A13,GPIO149,,GPIO149,EPWM3A,,,GPIO149,,,,GPIO149,,,,GPIO149,,,
B13,GPIO150,,GPIO150,EPWM3B,,,GPIO150,,,,GPIO150,,,,GPIO150,,,
C13,GPIO151,,GPIO151,EPWM4A,,,GPIO151,,,,GPIO151,,,,GPIO151,,,
D13,GPIO152,,GPIO152,EPWM4B,,,GPIO152,,,,GPIO152,,,,GPIO152,,,
A12,GPIO153,,GPIO153,EPWM5A,,,GPIO153,,,,GPIO153,,,,GPIO153,,,
B12,GPIO154,,GPIO154,EPWM5B,,,GPIO154,,,,GPIO154,,,,GPIO154,,,
C12,GPIO155,,GPIO155,EPWM6A,,,GPIO155,,,,GPIO155,,,,GPIO155,,,
D12,GPIO156,,GPIO156,EPWM6B,,,GPIO156,,,,GPIO156,,,,GPIO156,,,
B10,GPIO157,,GPIO157,EPWM7A,,,GPIO157,,,,GPIO157,,,,GPIO157,,,
A11,GPIO84,,GPIO84,,,,GPIO84,SCITXDA,MDXB,,GPIO84,,,,GPIO84,,,MDXA
B11,GPIO85,,GPIO85,,EM1D0,,GPIO85,SCIRXDA,MDRB,,GPIO85,,,,GPIO85,,,MDRA
C11,GPIO86,,GPIO86,,EM1A13,EM1CAS,GPIO86,SCITXDB,MCLKXB,,GPIO86,,,,GPIO86,,,MCLKXA
D11,GPIO87,,GPIO87,,EM1A14,EM1RAS,GPIO87,SCIRXDB,MFSXB,,GPIO87,,,,GPIO87,,,MFSXA
C10,GPIO158,,GPIO158,EPWM7B,,,GPIO158,,,,GPIO158,,,,GPIO158,,,
D10,GPIO159,,GPIO159,EPWM8A,,,GPIO159,,,,GPIO159,,,,GPIO159,,,
B9,GPIO160,,GPIO160,EPWM8B,,,GPIO160,,,,GPIO160,,,,GPIO160,,,
C9,GPIO161,,GPIO161,EPWM9A,,,GPIO161,,,,GPIO161,,,,GPIO161,,,
D9,GPIO162,,GPIO162,EPWM9B,,,GPIO162,,,,GPIO162,,,,GPIO162,,,
A8,GPIO163,,GPIO163,EPWM10A,,,GPIO163,,,,GPIO163,,,,GPIO163,,,
B8,GPIO164,,GPIO164,EPWM10B,,,GPIO164,,,,GPIO164,,,,GPIO164,,,
C8,GPIO0,,GPIO0,EPWM1A,,,GPIO0,,SDAA,,GPIO0,,,,GPIO0,,,
D8,GPIO1,,GPIO1,EPWM1B,,MFSRB,GPIO1,,SCLA,,GPIO1,,,,GPIO1,,,
A7,GPIO2,,GPIO2,EPWM2A,,,GPIO2,OUTPUTXBAR1,SDAB,,GPIO2,,,,GPIO2,,,
B7,GPIO3,,GPIO3,EPWM2B,OUTPUTXBAR2,MCLKRB,GPIO3,OUTPUTXBAR2,SCLB,,GPIO3,,,,GPIO3,,,
C7,GPIO4,,GPIO4,EPWM3A,,,GPIO4,OUTPUTXBAR3,CANTXA,,GPIO4,,,,GPIO4,,,
D7,GPIO5,,GPIO5,EPWM3B,MFSRA,OUTPUTXBAR3,GPIO5,,CANRXA,,GPIO5,,,,GPIO5,,,
A6,GPIO6,,GPIO6,EPWM4A,OUTPUTXBAR4,EPWMSYNCO,GPIO6,EQEP3A,CANTXB,,GPIO6,,,,GPIO6,,,
B6,GPIO7,,GPIO7,EPWM4B,MCLKRA,OUTPUTXBAR5,GPIO7,EQEP3B,CANRXB,,GPIO7,,,,GPIO7,,,
C6,GPIO88,,GPIO88,,EM1A15,EM1DQM0,GPIO88,,,,GPIO88,,,,GPIO88,,,
D6,GPIO89,,GPIO89,,EM1A16,EM1DQM1,GPIO89,,SCITXDC,,GPIO89,,,,GPIO89,,,
A5,GPIO90,,GPIO90,,EM1A17,EM1DQM2,GPIO90,,SCIRXDC,,GPIO90,,,,GPIO90,,,
B5,GPIO91,,GPIO91,,EM1A18,EM1DQM3,GPIO91,,SDAA,,GPIO91,,,,GPIO91,,,
C5,GPIO165,,GPIO165,EPWM11A,,,GPIO165,,,,GPIO165,,,,GPIO165,,,
A4,GPIO92,,GPIO92,,EM1A19,EM1BA1,GPIO92,,SCLA,,GPIO92,,,,GPIO92,,,
D5,GPIO166,,GPIO166,EPWM11B,,,GPIO166,,,,GPIO166,,,,GPIO166,,,
B4,GPIO93,,GPIO93,,,EM1BA0,GPIO93,,SCITXDD,,GPIO93,,,,GPIO93,,,
C4,GPIO167,,GPIO167,EPWM12A,,,GPIO167,,,,GPIO167,,,,GPIO167,,,
A3,GPIO94,,GPIO94,,,,GPIO94,,SCIRXDD,,GPIO94,,,,GPIO94,,,
D4,GPIO168,,GPIO168,EPWM12B,,,GPIO168,,,,GPIO168,,,,GPIO168,,,
B3,GPIO95,,GPIO95,,,,GPIO95,,,,GPIO95,,,,GPIO95,,,
C3,GPIO96,,GPIO96,,,EM2DQM1,GPIO96,EQEP1A,,,GPIO96,,,,GPIO96,,,
A2,GPIO97,,GPIO97,,,EM2DQM0,GPIO97,EQEP1B,,,GPIO97,,,,GPIO97,,,
B2,GPIO10,,GPIO10,EPWM6A,CANRXB,ADCSOCBO,GPIO10,EQEP1A,SCITXDB,,GPIO10,,,,GPIO10,,,UPP-WAIT
C1,GPIO11,,GPIO11,EPWM6B,SCIRXDB,OUTPUTXBAR7,GPIO11,EQEP1B,SCIRXDB,,GPIO11,,,,GPIO11,,,UPP-STRT
C2,GPIO12,,GPIO12,EPWM7A,CANTXB,MDXB,GPIO12,EQEP1S,SCITXDC,,GPIO12,,,,GPIO12,,,UPP-ENA
D1,GPIO13,,GPIO13,EPWM7B,CANRXB,MDRB,GPIO13,EQEP1I,SCIRXDC,,GPIO13,,,,GPIO13,,,UPP-D7
D2,GPIO14,,GPIO14,EPWM8A,SCITXDB,MCLKXB,GPIO14,,OUTPUTXBAR3,,GPIO14,,,,GPIO14,,,UPP-D6
D3,GPIO15,,GPIO15,EPWM8B,SCIRXDB,MFSXB,GPIO15,,OUTPUTXBAR4,,GPIO15,,,,GPIO15,,,UPP-D5
E1,GPIO16,,GPIO16,SPISIMOA,CANTXB,OUTPUTXBAR7,GPIO16,EPWM9A,,SD1_D1,GPIO16,,,,GPIO16,,,UPP-D4
E2,GPIO17,,GPIO17,SPISOMIA,CANRXB,OUTPUTXBAR8,GPIO17,EPWM9B,,SD1_C1,GPIO17,,,,GPIO17,,,UPP-D3
E3,GPIO18,,GPIO18,SPICLKA,SCITXDB,CANRXA,GPIO18,EPWM10A,,SD1_D2,GPIO18,,,,GPIO18,,,UPP-D2
E4,GPIO19,,GPIO19,SPISTEA,SCIRXDB,CANTXA,GPIO19,EPWM10B,,SD1_C2,GPIO19,,,,GPIO19,,,UPP-D1
F2,GPIO20,,GPIO20,EQEP1A,MDXA,CANTXB,GPIO20,EPWM11A,,SD1_D3,GPIO20,,,,GPIO20,,,UPP-D0
F3,GPIO21,,GPIO21,EQEP1B,MDRA,CANRXB,GPIO21,EPWM11B,,SD1_C3,GPIO21,,,,GPIO21,,,UPP-CLK
F1,GPIO98,,GPIO98,,,EM2A0,GPIO98,EQEP1S,,,GPIO98,,,,GPIO98,,,
G1,GPIO99,,GPIO99,,,EM2A1,GPIO99,EQEP1I,,,GPIO99,,,,GPIO99,,,
G2,GPIO8,,GPIO8,EPWM5A,CANTXB,ADCSOCAO,GPIO8,EQEP3S,SCITXDA,,GPIO8,,,,GPIO8,,,
G3,GPIO9,,GPIO9,EPWM5B,SCITXDB,OUTPUTXBAR6,GPIO9,EQEP3I,SCIRXDA,,GPIO9,,,,GPIO9,,,
H1,GPIO100,,GPIO100,,,EM2A2,GPIO100,EQEP2A,SPISIMOC,,GPIO100,,,,GPIO100,,,
H2,GPIO101,,GPIO101,,,EM2A3,GPIO101,EQEP2B,SPISOMIC,,GPIO101,,,,GPIO101,,,
H3,GPIO102,,GPIO102,,,EM2A4,GPIO102,EQEP2S,SPICLKC,,GPIO102,,,,GPIO102,,,
J1,GPIO103,,GPIO103,,,EM2A5,GPIO103,EQEP2I,SPISTEC,,GPIO103,,,,GPIO103,,,
J2,GPIO104,,GPIO104,SDAA,,EM2A6,GPIO104,EQEP3A,SCITXDD,,GPIO104,,,,GPIO104,,,
J4,GPIO22,,GPIO22,EQEP1S,MCLKXA,SCITXDB,GPIO22,EPWM12A,SPICLKB,SD1_D4,GPIO22,,,,GPIO22,,,
K4,GPIO23,,GPIO23,EQEP1I,MFSXA,SCIRXDB,GPIO23,EPWM12B,SPISTEB,SD1_C4,GPIO23,,,,GPIO23,,,
K3,GPIO24,,GPIO24,OUTPUTXBAR1,EQEP2A,MDXB,GPIO24,,SPISIMOB,SD2_D1,GPIO24,,,,GPIO24,,,
K2,GPIO25,,GPIO25,OUTPUTXBAR2,EQEP2B,MDRB,GPIO25,,SPISOMIB,SD2_C1,GPIO25,,,,GPIO25,,,
J3,GPIO105,,GPIO105,SCLA,,EM2A7,GPIO105,EQEP3B,SCIRXDD,,GPIO105,,,,GPIO105,,,
K1,GPIO26,,GPIO26,OUTPUTXBAR3,EQEP2I,MCLKXB,GPIO26,OUTPUTXBAR3,SPICLKB,SD2_D2,GPIO26,,,,GPIO26,,,
L1,GPIO27,,GPIO27,OUTPUTXBAR4,EQEP2S,MFSXB,GPIO27,OUTPUTXBAR4,SPISTEB,SD2_C2,GPIO27,,,,GPIO27,,,
L2,GPIO106,,GPIO106,,,EM2A8,GPIO106,EQEP3S,SCITXDC,,GPIO106,,,,GPIO106,,,
L3,GPIO107,,GPIO107,,,EM2A9,GPIO107,EQEP3I,SCIRXDC,,GPIO107,,,,GPIO107,,,
L4,GPIO108,,GPIO108,,,EM2A10,GPIO108,,,,GPIO108,,,,GPIO108,,,
N2,GPIO109,,GPIO109,,,EM2A11,GPIO109,,,,GPIO109,,,,GPIO109,,,
M2,GPIO110,,GPIO110,,,EM2WAIT,GPIO110,,,,GPIO110,,,,GPIO110,,,
M4,GPIO111,,GPIO111,,,EM2BA0,GPIO111,,,,GPIO111,,,,GPIO111,,,
M3,GPIO112,,GPIO112,,,EM2BA1,GPIO112,,,,GPIO112,,,,GPIO112,,,
N4,GPIO113,,GPIO113,,,EM2CAS,GPIO113,,,,GPIO113,,,,GPIO113,,,
N3,GPIO114,,GPIO114,,,EM2RAS,GPIO114,,,,GPIO114,,,,GPIO114,,,
P1,VSSA,VSSA
P5,VSSA,VSSA
R5,VSSA,VSSA
V7,VSSA,VSSA
W1,VSSA,VSSA
U4,ADCIN15,ADCIN15
V2,ADCINB0,ADCINB0
W2,ADCINB1,ADCINB1
V3,ADCINB2,ADCINB2
W3,ADCINB3,ADCINB3
V4,ADCINB4,ADCINB4
W4,ADCINB5,ADCINB5
V6,VREFLOB,VREFLOB
W6,VREFLOD,VREFLOD
W5,VREFHIB,VREFHIB
P6,VDDA,VDDA
R6,VDDA,VDDA
V5,VREFHID,VREFHID
T5,ADCIND0,ADCIND0
U5,ADCIND1,ADCIND1
T6,ADCIND2,ADCIND2
U6,ADCIND3,ADCIND3
T7,ADCIND4,ADCIND4
U7,ADCIND5,ADCIND5
A1,VSS,VSS
A10,VSS,VSS
A19,VSS,VSS
E5,VSS,VSS
E6,VSS,VSS
E8,VSS,VSS
E12,VSS,VSS
E14,VSS,VSS
E15,VSS,VSS
F5,VSS,VSS
F6,VSS,VSS
F8,VSS,VSS
F12,VSS,VSS
F14,VSS,VSS
F15,VSS,VSS
G16,VSS,VSS
G17,VSS,VSS
H8,VSS,VSS
H9,VSS,VSS
H10,VSS,VSS
H11,VSS,VSS
H12,VSS,VSS
H14,VSS,VSS
H15,VSS,VSS
J5,VSS,VSS
J6,VSS,VSS
J8,VSS,VSS
J9,VSS,VSS
J10,VSS,VSS
J11,VSS,VSS
J12,VSS,VSS
K8,VSS,VSS
K9,VSS,VSS
K10,VSS,VSS
K11,VSS,VSS
K12,VSS,VSS
K14,VSS,VSS
K15,VSS,VSS
L5,VSS,VSS
L6,VSS,VSS
L8,VSS,VSS
L9,VSS,VSS
L10,VSS,VSS
L11,VSS,VSS
L12,VSS,VSS
L18,VSS,VSS
M8,VSS,VSS
M9,VSS,VSS
M10,VSS,VSS
M11,VSS,VSS
M12,VSS,VSS
M14,VSS,VSS
M15,VSS,VSS
N1,VSS,VSS
N5,VSS,VSS
N6,VSS,VSS
P7,VSS,VSS
P8,VSS,VSS
P11,VSS,VSS
P12,VSS,VSS
P14,VSS,VSS
P15,VSS,VSS
R7,VSS,VSS
R8,VSS,VSS
R14,VSS,VSS
R15,VSS,VSS
W7,VSS,VSS
W19,VSS,VSS
A9,VDDIO,VDDIO
A18,VDDIO,VDDIO
B1,VDDIO,VDDIO
E7,VDDIO,VDDIO
E10,VDDIO,VDDIO
E13,VDDIO,VDDIO
F7,VDDIO,VDDIO
F10,VDDIO,VDDIO
F13,VDDIO,VDDIO
G5,VDDIO,VDDIO
G6,VDDIO,VDDIO
H5,VDDIO,VDDIO
H6,VDDIO,VDDIO
L14,VDDIO,VDDIO
L15,VDDIO,VDDIO
M1,VDDIO,VDDIO
M5,VDDIO,VDDIO
M6,VDDIO,VDDIO
N14,VDDIO,VDDIO
N15,VDDIO,VDDIO
P9,VDDIO,VDDIO
R9,VDDIO,VDDIO
V19,VDDIO,VDDIO
W8,VDDIO,VDDIO
E9,VDD,VDD
E11,VDD,VDD
F9,VDD,VDD
F11,VDD,VDD
G14,VDD,VDD
G15,VDD,VDD
J14,VDD,VDD
J15,VDD,VDD
K5,VDD,VDD
K6,VDD,VDD
P10,VDD,VDD
P13,VDD,VDD
R10,VDD,VDD
R13,VDD,VDD
R11,VDD3VFL,VDD3VFL
R12,VDD3VFL,VDD3VFL
W12,FLT1,FLT1
V13,FLT2,FLT2
W13,TDI,TDI
W15,TDO,TDO
V14,TRSTN,TRSTN
W14,TMS,TMS
V15,TCK,TCK
U19,ERROR,ERROR
J18,VREGENZ,VREGENZ
H16,VDDOSC,VDDOSC
H17,VDDOSC,VDDOSC
J19,X2,X2
H18,VSSOSC,VSSOSC
H19,VSSOSC,VSSOSC
G19,X1,X1
F19,XRSN,XRSN
E16,VDDIO,VDDIO
F16,VDDIO,VDDIO
F4,VDDIO,VDDIO
G4,VDDIO,VDDIO
H4,NC,NC
P4,ADCINC5,ADCINC5
R4,ADCINC4,ADCINC4
P3,ADCINC3,ADCINC3
R3,ADCINC2,ADCINC2
P2,ADCINC1,ADCINC1
R2,ADCINC0,ADCINC0
R1,VREFHIC,VREFHIC
V1,VREFHIA,VREFHIA
T3,ADCINA5,ADCINA5
U3,ADCINA4,ADCINA4
T2,ADCINA3,ADCINA3
U2,ADCINA2,ADCINA2
T1,ADCINA1,ADCINA1
U1,ADCINA0,ADCINA0
T4,ADCIN14,ADCIN14
